week_start,platform,campaign_name,clicks,spend
2022-12-26,Google Search,CPG_Search_Brand_Q4_2022,32800,10630.00
2023-01-02,Google Search,CPG_Search_Brand_Q1_2023,29200,9460.00
2023-01-09,Google Search,CPG_Search_Brand_Q1_2023,29900,9680.00
2023-01-16,Google Search,CPG_Search_Brand_Q1_2023,28600,9260.00
2023-01-23,Google Search,CPG_Search_Brand_Q1_2023,28000,9070.00
2023-01-30,Google Search,CPG_Search_Brand_Q1_2023,28800,9330.00
2023-02-06,Google Search,CPG_Search_Brand_Q1_2023,27200,8800.00
2023-02-13,Google Search,CPG_Search_Brand_Q1_2023,32100,10400.00
2023-02-20,Google Search,CPG_Search_Brand_Q1_2023,28200,9130.00
2023-02-27,Google Search,CPG_Search_Brand_Q1_2023,27500,8900.00
2023-03-06,Google Search,CPG_Search_Brand_Q1_2023,28600,9260.00
2023-03-13,Google Search,CPG_Search_Brand_Q1_2023,29300,9490.00
2023-03-20,Google Search,CPG_Search_Brand_Q1_2023,27900,9030.00
2023-03-27,Google Search,CPG_Search_Brand_Q2_2023,28400,9200.00
2023-04-03,Google Search,CPG_Search_Brand_Q2_2023,29000,9390.00
2023-04-10,Google Search,CPG_Search_Brand_Q2_2023,27600,8940.00
2023-04-17,Google Search,CPG_Search_Brand_Q2_2023,28300,9160.00
2023-04-24,Google Search,CPG_Search_Brand_Q2_2023,29000,9390.00
2023-05-01,Google Search,CPG_Search_Brand_Q2_2023,27000,8740.00
2023-05-08,Google Search,CPG_Search_Brand_Q2_2023,27700,8970.00
2023-05-15,Google Search,CPG_Search_Brand_Q2_2023,28500,9230.00
2023-05-22,Google Search,CPG_Search_Brand_Q2_2023,29400,9520.00
2023-05-29,Google Search,CPG_Search_Brand_Q2_2023,28200,9130.00
2023-06-05,Google Search,CPG_Search_Brand_Q2_2023,27100,8770.00
2023-06-12,Google Search,CPG_Search_Brand_Q2_2023,27800,9000.00
2023-06-19,Google Search,CPG_Search_Brand_Q2_2023,28400,9200.00
2023-06-26,Google Search,CPG_Search_Brand_Q3_2023,27200,8800.00
2023-07-03,Google Search,CPG_Search_Brand_Q3_2023,26400,8550.00
2023-07-10,Google Search,CPG_Search_Brand_Q3_2023,26900,8710.00
2023-07-17,Google Search,CPG_Search_Brand_Q3_2023,27400,8870.00
2023-07-24,Google Search,CPG_Search_Brand_Q3_2023,27800,9000.00
2023-07-31,Google Search,CPG_Search_Brand_Q3_2023,28200,9130.00
2023-08-07,Google Search,CPG_Search_Brand_Q3_2023,28700,9290.00
2023-08-14,Google Search,CPG_Search_Brand_Q3_2023,29200,9460.00
2023-08-21,Google Search,CPG_Search_Brand_Q3_2023,29700,9620.00
2023-08-28,Google Search,CPG_Search_Brand_Q3_2023,30200,9780.00
2023-09-04,Google Search,CPG_Search_Brand_Q3_2023,29600,9580.00
2023-09-11,Google Search,CPG_Search_Brand_Q3_2023,29000,9390.00
2023-09-18,Google Search,CPG_Search_Brand_Q3_2023,28500,9230.00
2023-09-25,Google Search,CPG_Search_Brand_Q4_2023,31000,10040.00
2023-10-02,Google Search,CPG_Search_Brand_Q4_2023,31900,10330.00
2023-10-09,Google Search,CPG_Search_Brand_Q4_2023,32600,10560.00
2023-10-16,Google Search,CPG_Search_Brand_Q4_2023,33400,10820.00
2023-10-23,Google Search,CPG_Search_Brand_Q4_2023,34300,11110.00
2023-10-30,Google Search,CPG_Search_Brand_Q4_2023,35200,11400.00
2023-11-06,Google Search,CPG_Search_Brand_Q4_2023,36100,11690.00
2023-11-13,Google Search,CPG_Search_Brand_Q4_2023,37100,12020.00
2023-11-20,Google Search,CPG_Search_Brand_Q4_2023,39800,12890.00
2023-11-27,Google Search,CPG_Search_Brand_Q4_2023,41600,13480.00
2023-12-04,Google Search,CPG_Search_Brand_Q4_2023,40700,13190.00
2023-12-11,Google Search,CPG_Search_Brand_Q4_2023,39700,12860.00
2023-12-18,Google Search,CPG_Search_Brand_Q4_2023,38300,12410.00
2023-12-25,Google Search,CPG_Search_Brand_Q4_2023,33600,10890.00
