week_start,platform,campaign_name,impressions,spend
2022-08-22,Facebook,CPG_PaidSocial_Q3_2022,511000,18250.00
2022-08-22,Instagram,CPG_PaidSocial_Q3_2022,297000,10700.00
2022-08-29,Facebook,CPG_PaidSocial_Q3_2022,518000,18500.00
2022-08-29,Instagram,CPG_PaidSocial_Q3_2022,303000,10900.00
2022-09-05,Facebook,CPG_PaidSocial_Q3_2022,508000,18150.00
2022-09-05,Instagram,CPG_PaidSocial_Q3_2022,294000,10600.00
2022-09-12,Facebook,CPG_PaidSocial_Q3_2022,499000,17820.00
2022-09-12,Instagram,CPG_PaidSocial_Q3_2022,288000,10380.00
2022-09-19,Facebook,CPG_PaidSocial_Q3_2022,492000,17580.00
2022-09-19,Instagram,CPG_PaidSocial_Q3_2022,282000,10170.00
2022-09-26,Facebook,CPG_PaidSocial_Q4_2022,530000,20100.00
2022-09-26,Instagram,CPG_PaidSocial_Q4_2022,315000,12000.00
2022-10-03,Facebook,CPG_PaidSocial_Q4_2022,548000,20800.00
2022-10-03,Instagram,CPG_PaidSocial_Q4_2022,328000,12500.00
2022-10-10,Facebook,CPG_PaidSocial_Q4_2022,562000,21300.00
2022-10-10,Instagram,CPG_PaidSocial_Q4_2022,340000,12900.00
2022-10-17,Facebook,CPG_PaidSocial_Q4_2022,578000,21900.00
2022-10-17,Instagram,CPG_PaidSocial_Q4_2022,352000,13400.00
2022-10-24,Facebook,CPG_PaidSocial_Q4_2022,595000,22600.00
2022-10-24,Instagram,CPG_PaidSocial_Q4_2022,368000,14000.00
2022-10-31,Facebook,CPG_PaidSocial_Q4_2022,612000,23200.00
2022-10-31,Instagram,CPG_PaidSocial_Q4_2022,382000,14500.00
2022-11-07,Facebook,CPG_PaidSocial_Q4_2022,628000,23800.00
2022-11-07,Instagram,CPG_PaidSocial_Q4_2022,396000,15000.00
2022-11-14,Facebook,CPG_PaidSocial_Q4_2022,645000,24500.00
2022-11-14,Instagram,CPG_PaidSocial_Q4_2022,412000,15600.00
2022-11-21,Facebook,CPG_PaidSocial_Q4_2022,680000,25800.00
2022-11-21,Instagram,CPG_PaidSocial_Q4_2022,440000,16700.00
2022-11-28,Facebook,CPG_PaidSocial_Q4_2022,710000,26900.00
2022-11-28,Instagram,CPG_PaidSocial_Q4_2022,468000,17800.00
2022-12-05,Facebook,CPG_PaidSocial_Q4_2022,695000,26400.00
2022-12-05,Instagram,CPG_PaidSocial_Q4_2022,452000,17200.00
2022-12-12,Facebook,CPG_PaidSocial_Q4_2022,678000,25700.00
2022-12-12,Instagram,CPG_PaidSocial_Q4_2022,438000,16600.00
2022-12-19,Facebook,CPG_PaidSocial_Q4_2022,655000,24900.00
2022-12-19,Instagram,CPG_PaidSocial_Q4_2022,420000,15900.00
2022-12-26,Facebook,CPG_PaidSocial_Q4_2022,580000,22000.00
2022-12-26,Instagram,CPG_PaidSocial_Q4_2022,360000,13700.00
2023-01-02,Facebook,CPG_PaidSocial_Q1_2023,530000,19000.00
2023-01-02,Instagram,CPG_PaidSocial_Q1_2023,318000,11500.00
2023-01-09,Facebook,CPG_PaidSocial_Q1_2023,542000,19400.00
2023-01-09,Instagram,CPG_PaidSocial_Q1_2023,325000,11750.00
2023-01-16,Facebook,CPG_PaidSocial_Q1_2023,518000,18500.00
2023-01-16,Instagram,CPG_PaidSocial_Q1_2023,308000,11100.00
2023-01-23,Facebook,CPG_PaidSocial_Q1_2023,505000,18050.00
2023-01-23,Instagram,CPG_PaidSocial_Q1_2023,296000,10700.00
2023-01-30,Facebook,CPG_PaidSocial_Q1_2023,522000,18700.00
2023-01-30,Instagram,CPG_PaidSocial_Q1_2023,312000,11250.00
2023-02-06,Facebook,CPG_PaidSocial_Q1_2023,488000,17450.00
2023-02-06,Instagram,CPG_PaidSocial_Q1_2023,280000,10100.00
2023-02-13,Facebook,CPG_PaidSocial_Q1_2023,572000,20450.00
2023-02-13,Instagram,CPG_PaidSocial_Q1_2023,348000,12550.00
2023-02-20,Facebook,CPG_PaidSocial_Q1_2023,498000,17800.00
2023-02-20,Instagram,CPG_PaidSocial_Q1_2023,287000,10350.00
2023-02-27,Facebook,CPG_PaidSocial_Q1_2023,482000,17200.00
2023-02-27,Instagram,CPG_PaidSocial_Q1_2023,274000,9880.00
2023-03-06,Facebook,CPG_PaidSocial_Q1_2023,510000,18250.00
2023-03-06,Instagram,CPG_PaidSocial_Q1_2023,298000,10750.00
2023-03-13,Facebook,CPG_PaidSocial_Q1_2023,520000,18600.00
2023-03-13,Instagram,CPG_PaidSocial_Q1_2023,304000,10970.00
2023-03-20,Facebook,CPG_PaidSocial_Q1_2023,496000,17740.00
2023-03-20,Instagram,CPG_PaidSocial_Q1_2023,284000,10240.00
2023-03-27,Facebook,CPG_PaidSocial_Q2_2023,503000,17990.00
2023-03-27,Instagram,CPG_PaidSocial_Q2_2023,291000,10510.00
2023-04-03,Facebook,CPG_PaidSocial_Q2_2023,515000,18420.00
2023-04-03,Instagram,CPG_PaidSocial_Q2_2023,300000,10820.00
2023-04-10,Facebook,CPG_PaidSocial_Q2_2023,486000,17380.00
2023-04-10,Instagram,CPG_PaidSocial_Q2_2023,275000,9920.00
2023-04-17,Facebook,CPG_PaidSocial_Q2_2023,500000,17880.00
2023-04-17,Instagram,CPG_PaidSocial_Q2_2023,289000,10430.00
2023-04-24,Facebook,CPG_PaidSocial_Q2_2023,516000,18460.00
2023-04-24,Instagram,CPG_PaidSocial_Q2_2023,301000,10870.00
2023-05-01,Facebook,CPG_PaidSocial_Q2_2023,478000,17080.00
2023-05-01,Instagram,CPG_PaidSocial_Q2_2023,269000,9700.00
2023-05-08,Facebook,CPG_PaidSocial_Q2_2023,493000,17630.00
2023-05-08,Instagram,CPG_PaidSocial_Q2_2023,282000,10170.00
2023-05-15,Facebook,CPG_PaidSocial_Q2_2023,509000,18200.00
2023-05-15,Instagram,CPG_PaidSocial_Q2_2023,295000,10650.00
2023-05-22,Facebook,CPG_PaidSocial_Q2_2023,526000,18810.00
2023-05-22,Instagram,CPG_PaidSocial_Q2_2023,310000,11190.00
2023-05-29,Facebook,CPG_PaidSocial_Q2_2023,503000,17980.00
2023-05-29,Instagram,CPG_PaidSocial_Q2_2023,291000,10510.00
2023-06-05,Facebook,CPG_PaidSocial_Q2_2023,480000,17160.00
2023-06-05,Instagram,CPG_PaidSocial_Q2_2023,271000,9780.00
2023-06-12,Facebook,CPG_PaidSocial_Q2_2023,496000,17740.00
2023-06-12,Instagram,CPG_PaidSocial_Q2_2023,284000,10240.00
2023-06-19,Facebook,CPG_PaidSocial_Q2_2023,504000,18020.00
2023-06-19,Instagram,CPG_PaidSocial_Q2_2023,292000,10540.00
2023-06-26,Facebook,CPG_PaidSocial_Q3_2023,482000,17230.00
2023-06-26,Instagram,CPG_PaidSocial_Q3_2023,273000,9850.00
2023-07-03,Facebook,CPG_PaidSocial_Q3_2023,468000,16730.00
2023-07-03,Instagram,CPG_PaidSocial_Q3_2023,260000,9380.00
2023-07-10,Facebook,CPG_PaidSocial_Q3_2023,476000,17020.00
2023-07-10,Instagram,CPG_PaidSocial_Q3_2023,266000,9590.00
2023-07-17,Facebook,CPG_PaidSocial_Q3_2023,484000,17310.00
2023-07-17,Instagram,CPG_PaidSocial_Q3_2023,274000,9880.00
2023-07-24,Facebook,CPG_PaidSocial_Q3_2023,491000,17560.00
2023-07-24,Instagram,CPG_PaidSocial_Q3_2023,280000,10100.00
2023-07-31,Facebook,CPG_PaidSocial_Q3_2023,499000,17840.00
2023-07-31,Instagram,CPG_PaidSocial_Q3_2023,287000,10350.00
2023-08-07,Facebook,CPG_PaidSocial_Q3_2023,506000,18100.00
2023-08-07,Instagram,CPG_PaidSocial_Q3_2023,293000,10570.00
2023-08-14,Facebook,CPG_PaidSocial_Q3_2023,514000,18380.00
2023-08-14,Instagram,CPG_PaidSocial_Q3_2023,300000,10820.00
2023-08-21,Facebook,CPG_PaidSocial_Q3_2023,521000,18640.00
2023-08-21,Instagram,CPG_PaidSocial_Q3_2023,307000,11080.00
2023-08-28,Facebook,CPG_PaidSocial_Q3_2023,528000,18890.00
2023-08-28,Instagram,CPG_PaidSocial_Q3_2023,314000,11330.00
2023-09-04,Facebook,CPG_PaidSocial_Q3_2023,518000,18530.00
2023-09-04,Instagram,CPG_PaidSocial_Q3_2023,305000,11000.00
2023-09-11,Facebook,CPG_PaidSocial_Q3_2023,508000,18170.00
2023-09-11,Instagram,CPG_PaidSocial_Q3_2023,296000,10680.00
2023-09-18,Facebook,CPG_PaidSocial_Q3_2023,500000,17890.00
2023-09-18,Instagram,CPG_PaidSocial_Q3_2023,289000,10430.00
2023-09-25,Facebook,CPG_PaidSocial_Q4_2023,540000,20500.00
2023-09-25,Instagram,CPG_PaidSocial_Q4_2023,323000,12350.00
2023-10-02,Facebook,CPG_PaidSocial_Q4_2023,558000,21200.00
2023-10-02,Instagram,CPG_PaidSocial_Q4_2023,336000,12850.00
2023-10-09,Facebook,CPG_PaidSocial_Q4_2023,572000,21700.00
2023-10-09,Instagram,CPG_PaidSocial_Q4_2023,348000,13300.00
2023-10-16,Facebook,CPG_PaidSocial_Q4_2023,588000,22320.00
2023-10-16,Instagram,CPG_PaidSocial_Q4_2023,362000,13830.00
2023-10-23,Facebook,CPG_PaidSocial_Q4_2023,605000,22970.00
2023-10-23,Instagram,CPG_PaidSocial_Q4_2023,378000,14440.00
2023-10-30,Facebook,CPG_PaidSocial_Q4_2023,622000,23620.00
2023-10-30,Instagram,CPG_PaidSocial_Q4_2023,392000,14980.00
2023-11-06,Facebook,CPG_PaidSocial_Q4_2023,638000,24220.00
2023-11-06,Instagram,CPG_PaidSocial_Q4_2023,406000,15510.00
2023-11-13,Facebook,CPG_PaidSocial_Q4_2023,655000,24870.00
2023-11-13,Instagram,CPG_PaidSocial_Q4_2023,422000,16120.00
2023-11-20,Facebook,CPG_PaidSocial_Q4_2023,692000,26270.00
2023-11-20,Instagram,CPG_PaidSocial_Q4_2023,452000,17270.00
2023-11-27,Facebook,CPG_PaidSocial_Q4_2023,724000,27480.00
2023-11-27,Instagram,CPG_PaidSocial_Q4_2023,480000,18340.00
2023-12-04,Facebook,CPG_PaidSocial_Q4_2023,708000,26880.00
2023-12-04,Instagram,CPG_PaidSocial_Q4_2023,464000,17730.00
2023-12-11,Facebook,CPG_PaidSocial_Q4_2023,690000,26200.00
2023-12-11,Instagram,CPG_PaidSocial_Q4_2023,448000,17120.00
2023-12-18,Facebook,CPG_PaidSocial_Q4_2023,668000,25360.00
2023-12-18,Instagram,CPG_PaidSocial_Q4_2023,430000,16430.00
2023-12-25,Facebook,CPG_PaidSocial_Q4_2023,592000,22470.00
2023-12-25,Instagram,CPG_PaidSocial_Q4_2023,372000,14220.00
